Topic,Count,Name,Representation,Representative_Docs
10,791,10_batch_harvest_monitor_sow,"['batch', 'harvest', 'monitor', 'sow', 'hosts', 'script', 'milk', 'allocation', 'hacking', 'batches']","['batch move phase module from batch to the services folder and rename to batch', 'batch add script to monitor all batch targets', 'batch add test script for batch operations']"
11,744,11_iteration_next_development_prepare,"['iteration', 'next', 'development', 'prepare', 'plugin', 'maven', 'release', 'for', 'restored', 'released']","['maven release plugin prepare for next development iteration', 'maven release plugin prepare for next development iteration', 'maven release plugin prepare for next development iteration']"
12,611,12_readme_md_link_typo,"['readme', 'md', 'link', 'typo', 'readmes', 'formatting', 'links', 'spelling', 'citations', 'docs']","['fix readme', 'fix in readme md', 'update readme md readme']"
13,595,13_pathway_manul_daily_refresh,"['pathway', 'manul', 'daily', 'refresh', 'revid', 'gitorigin', 'examples', 'github', 'authored', 'co']","['daily pathway examples refresh co authored by manul from pathway github manul pathway com gitorigin revid', 'daily pathway examples refresh co authored by manul from pathway github manul pathway com gitorigin revid', 'daily pathway examples refresh co authored by manul from pathway github manul pathway com gitorigin revid']"
14,534,14_bararchy_cuda_precision_gpu,"['bararchy', 'cuda', 'precision', 'gpu', 'kernels', 'fp32', 'fp16', 'cnn', 'gemm', 'norm']","['merge pull request 307 from bararchy codex replace fp64 with fp32 in cuda support fix default precision in cuda helpers', 'merge pull request 356 from bararchy codex extend cuda kernels for operations add precision dispatch for cuda cross entropy loss', 'merge pull request 224 from bararchy codex update precision handling for cuda operations add half precision cuda paths']"
15,520,15_origin_remote_tracking_branch,"['origin', 'remote', 'tracking', 'branch', 'master', 'merge', 'conflicts', 'gradle', 'properties', 'qkd']","['merge remote tracking branch origin master', 'merge remote tracking branch origin master', 'merge remote tracking branch origin master']"
16,514,16_hf_gpt2_llama_checkpoints,"['hf', 'gpt2', 'llama', 'checkpoints', 'training', 'checkpoint', 'wip', 'tokenizer', 'tpu', 'levanter']","['rename torch checkpoints py to hf checkpoints', 'add llama training configs 298 add llama2 7b config use openwebtext not initialize from hf add llama2 nano not use hf model config materialize attentionmask initialize from hf update comment attentionmask to causalmask use attentionmask type materialize at attention tokenize openwebtext with llama tokenizer usae cached openwebtext rm per device eval parallelism in nano config remove configs that are the same as default update tag don t use static for array fields reinitialize non serialized buffers as necessary in hf deserialization 300 add wandb config update 7b parameters reduce down batch size to 256 remove commit from merge co authored by david hall dlwh cs stanford edu', 'allow overriding when using hf checkpoints 969 description when loading checkpoints for from hf levanter expects a hf hub repo name path as a reference if there is some mismatch between the default and the one which we wish to use we have to call s method which is unintuitive api this pr allows overriding the when invoking the checkpoint converter method directly thus making it easier for users to point to different hf hub checkpoints known breaking changes behaviors non breaking change as the arguments are and revert to defaults if not overriden']"
17,510,17_bbuchsbaum_dsl_bids_implement,"['bbuchsbaum', 'dsl', 'bids', 'implement', 'roxygen', 'fmri', 'lm', 'cfals', 'fmrireg', 'ar']","['merge pull request 43 from bbuchsbaum codex implement dsl 201 from fmrireg dsl 2 4 sprint md implement dsl 201 bids loading', 'merge pull request 48 from bbuchsbaum codex implement dsl 206 from fmrireg dsl 2 4 sprint implement cross reference validation for dsl', 'merge pull request 37 from bbuchsbaum codex implement dsl 105 from fmrireg dsl 2 4 sprint md add dataset schema validation']"
18,498,18_courses_course_learning_books,"['courses', 'course', 'learning', 'books', 'cmu', 'mit', 'computer', 'university', 'uc', 'berkeley']","['course', 'update course', 'add more machine learning courses']"
19,495,19_date_time_timezone_timestamp,"['date', 'time', 'timezone', 'timestamp', 'dateutilities', 'zoneddatetime', 'datetime', 'localdate', 'timestamps', 'dates']","['set date', 'date and sql date conversions are no longer ambiguous on timezone the reader side map to date map to sql date always ensure timezone is included if it is not specified older json format then it will use the system s timezone which is what it did in the past', 'added date time parse']"
20,489,20_2019_2018_dockcontrol_12,"['2019', '2018', 'dockcontrol', '12', '11', '10', '06', '05', '09', '01']","['update 2019 10 11', 'update 2019 12 10', 'update 2019 10 12']"
21,481,21_patch_mdx_pull_request,"['patch', 'mdx', 'pull', 'request', 'merge', 'from', 'md', 'en', 'readme', 'link']","['merge pull request 133 from taolicd patch 1 update introduction en mdx', 'merge pull request 1 from hi15358 patch 1 patch 1', 'merge pull request 135 from taolicd patch 3 update settings en mdx']"
22,478,22_wordlist_txt_passwords_wordlists,"['wordlist', 'txt', 'passwords', 'wordlists', 'fuzz', 'password', 'php', 'moved', 'chore', 'common']","['chore wordlist removed obsolete dirsearch txt wordlist that wordlist has been replaced by the combined directories txt wordlist', 'fix wordlist removed duplicates from 2024 200 most used passwords txt wordlist', 'chore wordlist moved wordlist to its correct directory']"
23,464,23_firebase_cloud_deployment_firestore,"['firebase', 'cloud', 'deployment', 'firestore', 'configuration', 'step', 'cloudbuild', 'yaml', 'streamline', 'authentication']","['fix path for firebase configuration file in deployment script', 'refactor firebase deployment script to improve error handling streamline firebase project addition and enhance initialization of firebase authentication configuration', 'add debug output to cloud build configuration for firebase deployment']"
24,454,24_suhothayan_master_siddhi_tishan89,"['suhothayan', 'master', 'siddhi', 'tishan89', 'aggregation', 'niveathika92', 'niveathika', 'mohanvive', 'rukshiw', 'pull']","['merge pull request 543 from suhothayan master improving siddhi doc', 'merge pull request 473 from suhothayan master adding test cases for siddhi query api', 'merge pull request 1047 from suhothayan doc update remove unused siddhi api docs']"
25,442,25_triblespace_pile_blob_book,"['triblespace', 'pile', 'blob', 'book', 'kani', 'chapter', 'macro', 'codex', 'blobs', 'clarify']","['merge pull request 126 from triblespace codex propose implementation for blob metadata in pile add metadata retrieval to pile', 'merge pull request 217 from triblespace codex refactor pile update function refresh pile after branch updates', 'merge pull request 237 from triblespace codex document implemented pile metadata api refine pile blob metadata documentation']"
26,426,26_sum_exponentiation_fraction_product,"['sum', 'exponentiation', 'fraction', 'product', 'sqrt', 'operator', 'principalsurd', 'valuable', 'integer', 'gcd']","['fixed by sum test', 'fixed sum test', 'fixed fraction optimization sum sum case']"
27,418,27_log_logging_logs_logger,"['log', 'logging', 'logs', 'logger', 'console', 'loggers', 'logtoolbar', 'shorten', 'logfile', 'announcer']","['logging', 'update log', 'fix for log']"
28,416,28_yml_yaml_labeler_yamltester,"['yml', 'yaml', 'labeler', 'yamltester', 'create', 'stale', 'deploy', 'adrian', 'ci', 'stage']","['update test yml', 'update test yml', 'update yml']"
29,409,29_cjkrolak_resolves_sht31_develop,"['cjkrolak', 'resolves', 'sht31', 'develop', 'honeywell', 'kumocloud', 'zone', 'copilot', 'unit', 'ado']","['merge pull request 128 from cjkrolak develop merge develop into main', 'implement automatic version increment workflow and script co authored by cjkrolak cjkrolak users noreply github com', 'add documentation for automatic version increment feature co authored by cjkrolak cjkrolak users noreply github com']"
30,400,30_citizen_issue_261_conan,"['citizen', 'issue', '261', 'conan', 'todo', 'impl', 'fix', 'resolves', 'detmethod', 'gatv2']","['todo fix 261', 'todo fix 261', 'todo fix 261']"
31,397,31_noperson83_lawrencerowland_noreversematch_dashboard,"['noperson83', 'lawrencerowland', 'noreversematch', 'dashboard', 'project', 'codex', 'admin', 'calendar', 'gap', 'citizensfoundation']","['merge pull request 8 from noperson83 codex create templates for project app add project templates', 'merge pull request 112 from noperson83 codex fix noreversematch on create event fix missing schedule index url', 'merge pull request 93 from noperson83 codex create project detail page improve project dashboard']"
32,390,32_openhft_chronicle_jmh_queue,"['openhft', 'chronicle', 'jmh', 'queue', 'bom', 'logger', 'slf4j', 'party', 'third', 'clog']","['test for openhft chronicle queue 63', 'merge pull request 93 from openhft dependabot maven develop net openhft third party bom 3 22 2 bump third party bom from 3 19 10 to 3 22 2', 'move net openhft to net openhft chronicle']"
33,389,33_oauth2_auth_password_token,"['oauth2', 'auth', 'password', 'token', 'email', 'provider', 'credentials', 'login', 'reset', 'oauth']","['added post oauth2 redirect test', 'fixed oauth2 redirect test', 'updated the oauth2 providers to use the existing oauth2 endpoints and removed the email from spotify']"
34,385,34_config_configs_alias_aliases,"['config', 'configs', 'alias', 'aliases', 'configuration', 'rcon', 'digest', 'setconfig', 'global', 'module']","['update config', 'config', 'config']"
35,384,35_revid_gitorigin_connector_website,"['revid', 'gitorigin', 'connector', 'website', 'airbyte', 'kafka', 'deltalake', 'xpack', 'connectors', 'delta']","['support static mode in kafka connector 8607 gitorigin revid', 'fixing urls gitorigin revid', 'fix formatting of api docs for gitorigin revid']"
36,378,36_impr_provider_view_providers,"['impr', 'provider', 'view', 'providers', 'make', 'open', 'better', 'information', 'settings', 'data']","['impr various cleanup', 'impr code style', 'impr added better provider documentation']"
37,363,37_into_branch_main_codex,"['into', 'branch', 'main', 'codex', 'master', 'chapter', 'book', 'merge', 'review', 'waybar']","['merge branch master into codex add new implementation', 'merge branch main into codex improve chapter 8', 'merge branch master into codex']"
38,357,38_master_pull_request_danielmiessler,"['master', 'pull', 'request', 'danielmiessler', 'merge', 'from', 'diffyq', 'rivalsa', 'mig', 'auroratea']","['merge pull request 1 from danielmiessler master update', 'merge pull request 1 from danielmiessler master update', 'merge pull request 4 from danielmiessler master pull']"
39,355,39_branch_master_of_merge,"['branch', 'master', 'of', 'merge', 'conflicts', 'mashehu', 'shaief', 'cobjecthandler', 'into', 'sync']","['merge branch master of', 'merge branch master of', 'merge branch master of']"
40,347,40_typo_typos_spelling_fix,"['typo', 'typos', 'spelling', 'fix', 'correction', 'fixed', 'corrected', 'mha', 'minor', 'some']","['fix typo', 'typo fix', 'fix typo']"
41,346,41_jsonobject_json_jsonreader_tomaps,"['jsonobject', 'json', 'jsonreader', 'tomaps', 'jsonio', 'jsonparser', 'jsonwriter', 'string', 'object', 'tojava']","['update changelog for jsonobject get optimization added entry for binary search optimization in jsonobject get method generated with claude code code co authored by claude 4 0s noreply com', 'enhancement tomaps now returns builder for maximum flexibility major api enhancement changed tomaps return type from map string object to builder javastringbuilder javastreambuilder provides same fluent api as tojava with asclass and astype methods now handles all valid json types objects map arrays list primitives string integer etc and null maximum flexibility map string object map jsonio tomaps asclass map class list object list jsonio tomaps 1 2 3 asclass list class string str jsonio tomaps hello asclass string class object result jsonio tomaps json asclass null design rationale follows jackson s pattern type specific methods enforce contracts builder provides flexibility consistent api both tojava and tomaps return builders with identical extraction methods name accuracy tomaps means use map mode mapresolver not must return map type documentation updated jsonio java class level javadoc with comprehensive examples user guide md with all usage patterns user guide readoptions md examples changelog md with detailed change documentation all 2 124 tests pass successfully generated with claude code co authored by claude noreply com', 'new api add tomaps methods for class independent json parsing this commit introduces explicit api methods for map mode making it discoverable and obvious from the api surface previously map mode was hidden behind a readoptions flag returnasjsonobjects which was not discoverable new api methods tomaps string map string object tomaps string readoptions map string object tomaps inputstream map string object tomaps inputstream readoptions map string object key features returns map string object graph actually jsonobject with deterministic ordering automatically configures returnasjsonobjects mode sets failonunknowntype false for class independent parsing zero code duplication delegates to existing tojava infrastructure can cast to jsonobject to access preserved type metadata works with any json even with unknown type entries enhanced documentation updated jsonio class level javadoc with two modes for reading json section java object mode tojava requires classes returns typed objects map mode tomaps no classes required returns map graph clear examples use case guidance and feature comparison shows two phase parsing map first then convert to java objects deprecated toobjects string readoptions class t use tojava asclass toobjects inputstream readoptions class t use tojava asclass toobjects jsonobject readoptions class t use tojava asclass reason fluent builder api is more flexible and supports generic types benefits api clarity tomaps json vs tojava json opts asclass person class better discoverability ide autocomplete shows both modes self documenting intent clear from method name backward compatible all existing code continues to work all 2 124 tests pass generated with claude code co authored by claude noreply com']"
42,345,42_makhin_photo_face_photobank,"['makhin', 'photo', 'face', 'photobank', 'photos', 'codex', 'person', 'photodetailspage', 'acl', 'photoservice']","['merge pull request 26 from makhin codex add pagination to photo list add pagination to frontend photo list', 'merge pull request 37 from makhin codex open photo preview in new page enable photo preview modal in list page', 'merge pull request 66 from makhin codex implement photo filtering behavior implement default photo filter logic']"
43,335,43_work_on_bull_assisant,"['work', 'on', 'bull', 'assisant', 'ona', 'kue', 'assitant', 'anlaytics', 'rec', 'bullfrom']","['work on', 'work on', 'work on']"
44,335,44_community_group_communities_share,"['community', 'group', 'communities', 'share', 'admin', 'groups', 'sharing', 'folders', 'admins', 'rights']","['new dist and fixes for admin rights when creating new community and then a new group', 'show groups and communities for admin in nav', 'fixes for community admin']"
45,334,45_hap_189_roc_progress,"['hap', '189', 'roc', 'progress', 'quantify', 'vcfeval', '306', '209', 'vcf', 'som']","['hap 200 progress on hap matcher', 'hap 189 progress fixing hap py with new changes', 'hap 189 fixes in hap py']"
46,328,46_prettyblock_slider_teamever_block,"['prettyblock', 'slider', 'teamever', 'block', 'prettyblocks', 'cover', 'carousel', 'repeater', 'mobile', 'image']","['add link option to prettyblock cover block', 'merge pull request 255 from teamever codex add slider option to prettyblock settings add bootstrap slider option for product selector block', 'refactor prettyblock image slider to bootstrap']"
47,326,47_30_boot_iso_ventoy,"['30', 'boot', 'iso', 'ventoy', 'booting', 'ventoy2disk', 'uefi', 'partition', 'exe', 'vtoy']","['1 add a new feature to directly boot wim files 2 installation plugin update 1 expand the configuration now you can specify more than one installation scripts for one iso file 2 add a prompt for the iso with installation config you can choose whether to use the installation script and which one to use for this time 3 persistence plugin update 1 expand the configuration now you can specify more than one persistence backend image files for one iso file 2 add a prompt for the iso with persistence config you can choose whether to use the persistence image and which one to use for this time 4 move the position of the red memdisk tip to a more prominent position 5 add a return parent directory item when in treeview mode 6 add a vtoy default search root option in global control plugin to specify the root path of the iso files 7 change the style of f2 power menu 8 fix a bug about ventoy2disk exe can t start when there is a dataram ramdisk in the system 9 files with size less than 32kb will be filted by default 10 fix a bug about wrong file size in treeview mode with ntfs xfs 11 files with space or non ascii charactors in name will be shown but with unsupported message when you boot it 12 optimization for ventoy2disk sh 13 optimization for arch linux boot 14 new iso support', 'boot iso file with ventoy in ventoy grub cfg', 'support nested boot for example ventoy refind iso ventoy windows iso']"
48,318,48_exception_error_message_handling,"['exception', 'error', 'message', 'handling', 'catch', 'errors', 'exceptions', 'exceptiontracker', 'messages', 'throws']","['add exception for', 'better exception handling', 'improve exception message']"
49,317,49_dock_dockable_pinned_docking,"['dock', 'dockable', 'pinned', 'docking', 'avalonia', 'documentdock', 'dockables', 'csproj', 'cs', 'adorner']","['fix dock to window', 'fix get dock', 'fix test dock']"
50,317,50_services_ram_dispatch_service,"['services', 'ram', 'dispatch', 'service', 'client', 'allocator', 'memory', 'ns', 'discover', 'daemon']","['services improve types in dispatch service script', 'services improve documentation for method', 'add services']"
51,313,51_language_patterns_pattern_updated,"['language', 'patterns', 'pattern', 'updated', 'cheat', 'sheet', 'library', 'evaluator', 'sys', '1069']","['patterns updated pattern language', 'patterns updated pattern language', 'patterns updated pattern language']"
52,310,52_added_ru_mdx_vale,"['added', 'ru', 'mdx', 'vale', 'uw', 'neox', 'games103', 'add', 'flakytestrunner', 'cse']","['added a p', 'added risks ru mdx added services ru mdx', 'added 4 ru mdx']"
53,308,53_2020_06_05_09,"['2020', '06', '05', '09', '07', '01', '03', '08', '02', 'update']","['update 2020 05 03', 'update 2020 02 03', 'update 2020 02 03']"
54,300,54_anduin_xue_md_aiursoft,"['anduin', 'xue', 'md', 'aiursoft', 'dishes', 'jhonroxton', 'recipe', 'dish', 'qq', 'microsoft']","['create md 981 create md update md update md update md co authored by anduin xue anduin aiursoft com co authored by anduin xue anduin xue microsoft com', '940 update md update md update md update md update md update readme md update md co authored by anduin xue anduin aiursoft com co authored by anduin xue anduin xue microsoft com', 'create md 1166 create md update md update md update md update md co authored by anduin xue anduin xue microsoft com co authored by anduin xue anduin aiursoft com']"
55,293,55_link_links_broken_dead,"['link', 'links', 'broken', 'dead', 'comet', 'expired', 'playground', 'visable', 'django', 'highly']","['fix link', 'fix link', 'fix broken link update link to']"
56,291,56_jdereg_junit_nextint_tests,"['jdereg', 'junit', 'nextint', 'tests', 'random', 'write', 'methods', 'compactset', 'codex', 'compactmap']","['merge pull request 300 from jdereg codex add junit test and equals method calls add tests for reflectionutils cache keys', 'merge pull request 336 from jdereg codex add junit tests for converter methods add tests for static converter api', 'merge pull request 328 from jdereg codex add junit tests for methods add injector tests']"
57,290,57_patterns_pattern_language_structs,"['patterns', 'pattern', 'language', 'structs', 'pointers', 'fixed', 'endian', 'evaluating', 'crashes', 'variables']","['patterns improved pattern formatting', 'patterns added type', 'patterns added']"
58,289,58_rename_naming_name_names,"['rename', 'naming', 'name', 'names', 'renamed', 'variables', 'prefix', 'renaming', 'channel', 'variable']","['renamed variable name', 'rename variables for clarity', 'rename variables']"
59,281,59_2023_11_12_10,"['2023', '11', '12', '10', '2022', '2024', '2025', 'update', '29', '28']","['update 2023 12 10', 'update 2023 10 12', 'update 2023 11 10']"
60,280,60_docker_dockerfile_nethermind_compose,"['docker', 'dockerfile', 'nethermind', 'compose', 'image', 'container', 'minio', 'nginx', 'yml', 'push']","['fix docker build', 'docker', 'docker']"
61,279,61_version_versions_bumb_maxplayers,"['version', 'versions', 'bumb', 'maxplayers', 'foss', 'guarded', 'chenge', 'torch', 'players', 'explicit']","['version', 'version', 'version']"
62,278,62_md_update_mojito_news,"['md', 'update', 'mojito', 'news', 'quckstart', 'todo', 'backers', 'pref', 'about', 'adrian']","['update md', 'update md', 'update md']"
63,276,63_2017_00_02_03,"['2017', '00', '02', '03', 'updated', '01', '04', '05', '09', '06']","['updated 2017 02 04 00 00 03', 'updated 2017 04 03 00 00 02', 'updated 2017 03 04 00 00 02']"
64,264,64_2018_00_03_04,"['2018', '00', '03', '04', '02', 'updated', '01', '05', '06', '09']","['updated 2018 02 04 00 00 03', 'updated 2018 04 02 00 00 03', 'updated 2018 03 02 00 00 04']"
65,264,65_update_news_reminder_travis,"['update', 'news', 'reminder', 'travis', 'blood', 'krkr', 'qewd', 'trans', 'thirst', 'insightful']","['update', 'update', 'update']"
66,260,66_license_copyright_year_spdx,"['license', 'copyright', 'year', 'spdx', 'headers', 'licence', 'licensing', 'apache', 'mit', 'header']","['update license', 'license', 'license update license']"
67,259,67_blank_line_lines_newline,"['blank', 'line', 'lines', 'newline', 'whitespace', 'newlines', 'trailing', 'empty', 'space', 'spaces']","['refactor remove unnecessary blank lines in java files', 'remove some blank lines', 'remove some blank lines']"
68,254,68_comment_comments_commented_typo,"['comment', 'comments', 'commented', 'typo', 'fixed', 'removed', 'out', 'address', 'remove', 'review']","['fix comment', 'fix comment', 'fix comment']"
69,253,69_mrme_codesmith_quote_syncfusion,"['mrme', 'codesmith', 'quote', 'syncfusion', 'forms', 'view', 'codex', 'applicationdata', 'refactor', 'createquoteviewmodel']","['merge pull request 36 from mrme codesmith codex create comprehensive md documentation', 'merge pull request 3 from mrme codesmith codex create readme md with project details', 'merge pull request 10 from mrme codesmith codex update readme for json format']"
70,250,70_2021_09_07_06,"['2021', '09', '07', '06', '05', '03', '08', '01', '02', 'update']","['update 2021 03 05', 'update 2021 03 08', 'update 2021 08 03']"
71,246,71_plot_histogram_hist2d_fitfunction,"['plot', 'histogram', 'hist2d', 'fitfunction', 'plotting', 'label', 'labels', 'fitfunctions', 'texinfo', 'histograms']","['p fitfunction plot code refactored to fitfunctionplot', 'p refactored plotting axis labels and log init into base class 1 removed from hist1d and hist2d', 'feat plotting implement comprehensive histograms py test suite 40 comprehensive tests covering histograms module exports and functionality test module re exports aggplot hist1d hist2d correctly imported test hist1d count aggregation histograms log transforms axis normalization plotting test hist2d 2d heatmaps log scale conversion multi axis normalization test inheritance relationships and integration between classes handle pandas api deprecations and error type validation comprehensive coverage of core histogram plotting functionality generated with claude code code co authored by claude noreply com']"
72,242,72_query_index_queries_aggregation,"['query', 'index', 'queries', 'aggregation', 'indexes', 'table', 'namedqueries', 'sample', 'sql', 'named']","['added index', 'refactor query', 'fix index']"
73,242,73_teamever_shortcode_shortcodes_ajouter,"['teamever', 'shortcode', 'shortcodes', 'ajouter', 'et', 'la', 'le', 'des', 'selling', 'admin']","['merge pull request 75 from teamever codex ajouter shortcode pour lister articles blog add product shortcode', 'documentation add missing shortcode', 'new shortcode']"
74,241,74_branch_into_main_branches,"['branch', 'into', 'main', 'branches', 'rebase', 'mergeinbirthday', 'localsend', 'jrolfs', 'hasklig', 'v3']","['merge branch', 'merge branch 0 2 1', 'merge branch 4 2 0']"
75,238,75_deps_everything_bump_pcre2,"['deps', 'everything', 'bump', 'pcre2', 'dep', 'winapi', 'refena', 'dependencies', 'bstr', 'brings']","['update deps', 'update deps', 'update deps']"
76,237,76_trickest_wordlists_action_github,"['trickest', 'wordlists', 'action', 'github', 'update', 'updater', 'wordlist', 'seclists', 'denied', 'cicd']","['github action trickest wordlists update', 'github action trickest wordlists update', 'github action trickest wordlists update']"
77,236,77_2016_00_03_02,"['2016', '00', '03', '02', 'updated', '05', '06', '08', '09', '07']","['updated 2016 12 02 00 00 03', 'updated 2016 10 02 00 00 03', 'updated 2016 10 03 00 00 02']"
78,236,78_event_handlers_events_eventloop,"['event', 'handlers', 'events', 'eventloop', 'eventgroup', 'eventhandler', 'loop', 'eventhandlers', 'eventid', 'mediumeventloop']","['allow an eventgroup to not have core event loop 35', 'test and fix behaviour when event loops are started and stopped while event handlers are being added fixes 108', 'remove unused event handlers']"
79,235,79_various_ac_good_include,"['various', 'ac', 'good', 'include', '', '', '', '', '', '']","['various', 'various', 'various']"
80,234,80_quadratic_bezier_angle_joint,"['quadratic', 'bezier', 'angle', 'joint', 'normal', 'angles', 'rotate', 'smooth', 'curves', 'approximation']","['change geometry mobjects to work with quadratic bezier curves', 'added quadratic bezier shader files', 'get smooth quadratic bezier handle points edge case for 2 points']"
81,232,81_plan_claude_phase_physics,"['plan', 'claude', 'phase', 'physics', 'compaction', 'session', 'comprehensive', 'generated', 'plans', 'validation']","['docs closeout claude settings ecosystem alignment plan complete plan closeout following master plan feature plan master workflow all 5 phases completed successfully in commit implementation merged from feature branch back to plan branch documentation updated with completion status and metrics velocity 8x improvement 1 hour actual vs 8 hour estimate success metrics 100 deliverables completed 6 layer security with granular permissions all 7 hooks integrated with intelligent triggers 8 routing system fully configured context aware workflow automation active comprehensive monitoring and emergency procedures files updated 0 overview md added completion summary and final metrics 1 security foundation md all 12 tasks completed with 2 hook integration md all 12 tasks completed with 3 system integration md all 12 tasks completed with 4 enhanced workflow automation md all 9 tasks completed with 5 validation monitoring md all 9 tasks completed with compacted session state md added implementation completion summary ready for final merge to master via pr generated with claude code code co authored by claude noreply com', 'feat plans implement comprehensive plan compliance and archival system complete modernization of the planning system with proper organization and compliance plan archival implementation moved 5 completed plans to plans completed folder single ecosystem plan implementation ecosystem transformation fitfunctions testing implementation 95 3 test success rate achieved requirements management consolidation dependency management test planning architecture validation combined test plan with checklist fitfunctions legacy testing plan plans completed now contains 6 total completed plans with preserved history implemented proper archival workflow following planmanager specifications system cleanup compliance deleted deprecated plan template md obsolete single file template fixed broken references in compaction system 0 overview md updated token analysis to reflect current 2 architecture all 6 remaining active plans now properly use planmanager planimplementer planning system status active plans directory clean and organized for development compliance 100 compatibility with streamlined 2 system template system fully optimized with 46 guide reduction archival workflow properly implemented for completed plan management validation results active plans verified compliant circular import audit combined test plan with checklist plotting combined test plan with checklist solar activity compaction system fixed session continuity protocol test directory consolidation result complete planning system modernization with 80 consolidation 46 template optimization and proper organizational structure achieved generated with claude code code co authored by claude noreply com', 'feat complete github issues plan management system implementation implemented comprehensive github issues based plan management system for solarwindpy with phase 1 foundation label system created 25 github labels across 5 categories priority status type plan domain established comprehensive labeling system for plan categorization configured repository settings for optimal github issues workflow phase 2 issue templates integration created 3 comprehensive issue templates plan overview yml plan phase yml plan closeout yml extended unifiedplancoordinator with github issues integration capabilities preserved complete propositions framework in structured templates phase 3 cli automation scripts developed gh plan create sh for plan creation with propositions framework built gh plan status sh for comprehensive plan monitoring and dashboard created gh plan phases sh for phase issue creation and linking added comprehensive documentation and training materials phase 4 validation documentation updated claude md with new github issues workflow documentation created comprehensive readme md for script usage and workflow guidance end to end system validation with test plan creation 280 281 282 283 key benefits delivered multi computer synchronization instant plan access across 3 development machines simplified workflow direct github issues feature branch pr eliminated plan branches preserved sophistication all propositions framework elements maintained in templates 85 implementation decision capture comprehensive closeout documentation comprehensive automation cli scripts for streamlined plan management breaking changes removed plan feature branch complexity migrated planning workflow from local files to github issues updated git workflow to github issues feature pr master generated with claude code code co authored by claude noreply com']"
82,230,82_path_paths_subpath_traversal,"['path', 'paths', 'subpath', 'traversal', 'absolute', 'directory', 'pathlib', 'finder', 'footprints', 'unstable']","['path fix', 'fix path', 'fix path']"
