text,date,time,group,neg,neu,pos,compound,sentiment_cat
"Sounds great, thank you!",2014-01-02 16:25:05+00:00,2014-01-02 16:25:05+00:00,before,0.0,0.225,0.775,0.784,positive
"Thank you for the background information and advice!

Since my local requirements include neither deserialization nor non-String keys, I will (probably) fork the writer to produce the `""@pairs"":[[k0,v0],[k1,v0],...]` json that you described.
![image](https://f.cloud.github.com/assets/1524866/1834130/0412cd50-73d7-11e3-82e3-a066749466d9.png)

Cheers.
--Dave",2014-01-02 16:47:17+00:00,2014-01-02 16:47:17+00:00,before,0.0,0.842,0.158,0.7339,positive
"Floating point values compared using ==
The following test fails

```
test() {
    Class1 x = new Class1(true, Math.tan(Math.PI / 4), 1);
    Class1 y = new Class1(true, 1.0, 1);
    assertTrue(DeepEquals.deepEquals(x, y));
}

class Class1 {
    private boolean b;
    private double d;
    int i;

    public Class1(boolean b, double d, int i) {
        super();
        this.b = b;
        this.d = d;
        this.i = i;
    }

}
```",2014-02-27 19:16:20+00:00,2014-02-27 19:16:20+00:00,before,0.139,0.774,0.087,-0.6124,negative
"Different implementations of Lists/Sets/Maps are treated unequal
In some cases it might be nice if we can support this use case

```
public void testOrderedCollection() {
    List<String> a = Lists.newArrayList(""one"", ""two"", ""three"", ""four"",
            ""five"");
    List<String> b = Lists.newLinkedList(a);
    assertTrue(DeepEquals.deepEquals(a, b));
    }
```",2014-02-27 19:19:41+00:00,2014-02-27 19:19:41+00:00,before,0.051,0.832,0.117,0.4767,positive
"Good recommendation.  There is not really a good reason to consider the collection type just the items in the collection.  In other words, compare the grapes, not the vines.",2014-02-28 01:35:59+00:00,2014-02-28 01:35:59+00:00,before,0.08,0.83,0.089,0.0742,positive
I am looking into this.  I will have a comment + solution likely by the end of this weekend (2013/02/28).,2014-02-28 02:21:21+00:00,2014-02-28 02:21:21+00:00,before,0.0,0.892,0.108,0.3182,positive
"Closed, using your (sadradhan) implementation.  Thank you for contributing!",2014-03-29 05:08:35+00:00,2014-03-29 05:08:35+00:00,before,0.0,0.741,0.259,0.4199,positive
"In version 1.10.0 of java-util, DeepEquals.deepEquals() no longer takes the Map or Collection type into consideration when comparing, other than not allowing the sorted versus non-sorted types to be compared.

For example, it is valid to compare a HashMap to ConcurrentHashMap, but not a HashMap and a TreeMap - that will still return false.  The same holds for the Collection types.",2014-04-28 01:52:33+00:00,2014-04-28 01:52:33+00:00,before,0.026,0.974,0.0,-0.1531,negative
"Serialized simple string can not be deserialized by JsonReader
A String will be serialized fine as simple String:
String strJson = JsonWriter.objectToJson(""5"");
 =>  ""5""

But the json reader can not read this vice versa, it throws an Exception
String strClone = (String) JsonReader.jsonToJava(strJson);

Same Exception when formatting the string with
String strBeauty = JsonWriter.formatJson(strJson);

java.io.IOException: Input is invalid JSON; does not start with '{' or '[', c=34
Last read: ""
line: 1, col: 2
    at com.cedarsoftware.util.io.JsonReader.error(JsonReader.java:3203)
    at com.cedarsoftware.util.io.JsonReader.readJsonObject(JsonReader.java:2213)
    at com.cedarsoftware.util.io.JsonReader.readObject(JsonReader.java:1161)
    at com.cedarsoftware.util.io.JsonReader.jsonToJava(JsonReader.java:1085)

Thus, we have to make a workaround for serializing/deserializing simple Strings. We are using json-io 2.6.1. We would be pleased if this could be fixed! Thanks a lot for this fine piece of work.",2014-07-08 15:54:04+00:00,2014-07-08 15:54:04+00:00,before,0.0,0.904,0.096,0.8977,positive
"Maybe unnecessary call of convertParsedMapsToJava inside JsonReader.readObject()
In version 2.6.1, if I don't want to have the java object but only the map representation of the json (by giving the constructor 'true' for noObjects), convertParsedMapsToJava is still invoked - is this necessary or simply an unnecessary overhead in this case? This is the readObject() code from JsonReader:

```
public Object readObject() throws IOException
{
    Object o = readJsonObject();
    if (o == EMPTY_OBJECT)
    {
        return new JsonObject();
    }

    Object graph = convertParsedMapsToJava((JsonObject) o);

    // Allow a complete 'Map' return (Javascript style)
    if (_noObjects)
    {
        return o;
    }
    return graph;
}
```

Maybe it could be more efficient if convertParsedMapsToJava is only invoked if necessary:

```
public Object readObject() throws IOException
{
    Object o = readJsonObject();
    if (o == EMPTY_OBJECT)
    {
        return new JsonObject();
    }

    // Allow a complete 'Map' return (Javascript style)
    if (_noObjects)
    {
        return o;
    }

    Object graph = convertParsedMapsToJava((JsonObject) o);

    return graph;
}
```",2014-07-08 15:56:19+00:00,2014-07-08 15:56:19+00:00,before,0.007,0.9,0.094,0.9385,positive
"Feature request: add an optional fallback type parameter for the toplevel json container to JsonReader.jsonToJava(json);
We give the possibility to specify http get parameters also as json strings, to allow class objects as parameter types for the web interfaces also.

The problem is, by using json-io, specifying @type in the json string is mandatory for deserialization, right? Thus, the users have to specify it, which is not so nice (for the return values its fine of course, but for parameters?)

I love the way json-io deals with types, for me, it is the best solution to support polymorphism I have seen in such a library. Nevertheless, in this case, the underlying type of the parameter normally not changes - it should be transparent for the (e.g. javascript) user of the interface who creates the json, and clear for the server.

Is it possible to add another method to JsonReader.jsonToJava(String json, Class toplevelFallbackType) - where toplevelFallbackType could be also String, Type, etc. of course.
This parameter would then be used as fallback if the @type was not specified in the toplevel json object.
I know this would not work with polymorphism, but it would help us a lot and would be maybe a nice enhanchement of json-ios functionality:)

Thanks and best regards

Christian",2014-07-08 15:59:00+00:00,2014-07-08 15:59:00+00:00,before,0.015,0.793,0.191,0.9925,positive
"Successfully, I have found a solution - I write it as comment if somebody has the same problem and you don't want to add this feature:

``` java
   JsonObject jsonObject = (JsonObject) JsonReader.jsonToMaps(jsonString);
   if(jsonObject.getType() == null) jsonObject.setType(""package.FallbackClassName"");
   Object finalJavaObject = new JsonReader().jsonObjectsToJava(jsonObject);
```

Thanks again for this nice piece of work!
Caution/update: The object references will be broken with this snippet. In the case you generate a json string out of a container with an object reference (an object with appears twice or more), it will become 2 seperate Objects in the final, deserialized Object. I subclassed now JsonReader with forbidden reflection Api also to achieve this functionality.",2014-07-08 16:46:54+00:00,2014-07-08 16:46:54+00:00,before,0.081,0.821,0.098,0.4802,positive
"...as far as I found a solution for reading those json-Strings without toplevel type, it is a bit hard to create those with json-io. I did so with Collections and Arrays, by subclassing JsonWriter, adding a method write(Object obj, boolean showTopLevelType). This method simply adds the possibility to specify the 'showType' parameter in the writeImpl invocation - everything else is identical to the origin write(Object obj) method.
Sadly, I had to use forbidden reflection API to make this invocations in the subclass, because some fields and methods are declared private.
For this, I want to ask whether these elements of JsonWriter could be declared protected, to enable better subclassing of JsonWriter:
- traceReferences
- _objVisited
- writeImpl
- _objsReferenced
- _args

Thanks a lot",2014-07-09 16:37:36+00:00,2014-07-09 16:37:36+00:00,before,0.051,0.843,0.106,0.7506,positive
"The only two (2) characters that valid JSON can begin with are { or [.  In otherwords, an Object or an Array.  It is not valid JSON to just have a String.  Although it can be written, it cannot be read.  See the BNF diagram on http://json.org .

Here's an option.  Put your String in an Object[] and then send that.  When you read it, pull the String out of the Object[](it would be the first entry in the array).  This should at least get you on the right path.",2014-07-10 00:09:59+00:00,2014-07-10 00:09:59+00:00,before,0.0,1.0,0.0,0.0,neutral
"I appreciate the suggestion and on the surface it looks like it would work.  However, that is not the case.  Perhaps I should rename the method to make this more clear.  convertParsedMapsToJava() internally calls convertMapsToObjects(). Internally, this method takes a different path based on the _noObjects flag.  

So although the outer method is called convertParsedMapsToJava() perhaps it should be called convertParsedMapsToJavaOrMaps().  I don't like the 'OR' in the method name.  

After the JSON parser has run (it is a Finite State Machine FSM parser), there is still work to be.  For example, forward references need to be patched, and some work is also done in terms of converting Arrays, Collections, Maps, and some work on primitives.  All the methods that end in ""Obj()"" are the versions that traverse the parsed model and make the cleaned up Map of Maps representation.  This ""cleaned up"" Map of Maps representation can be passed back to the JsonWriter, and you will get JSON written that will look like it came from the original Java objects!

This is important, because it allows a system to read JSON in generically, parse it into a Graph structure, then work on it, and then write it back out, without ever requiring the code to have the Java classes loaded for which the JSON represents.",2014-07-10 00:27:59+00:00,2014-07-10 00:27:59+00:00,before,0.009,0.924,0.066,0.8973,positive
"@type is not mandetory to be specified in the JSON.  There are many circumstances where you can leave it out:

In the case of any field of an object, the @type parameter can be left off, if the value associated to the field is the exact same type of the field (usually the case).  When the JSON reader encounters JSON data without the @type, it looks at the field of the object, and instantiates the object as the field type in that case.  Where this does not work, is when the field is an abstract class or interface.  There is special handling for the Collection classes (intelligent Collection and Map types are used).  @type is also required when the field type is a superclass of the actual type written.  For example, if you a class Person and Employee is derived from Person.  If the field type is Person but it is polymorphically pointing to an Employee, and the @type is not written, then the JsonReader cannot instantiate the class as an Employee, as it does not know that what to instantiate.  The best it could do is instantiate a Person.  If person is concrete, then it will instantiate it as Person, and the Employee fields would be dropped (not desired).  JsonWriter allows compares the instance type to the field type and does NOT write the @type out in these cases, so that the resulting JSON is smaller.

Another case where @type can be dropped is when you have a specific array type.  An Employee[] of Employee objects.  In this case, the @type, if missing on the Employee objects inside the array, will be inferred from the type of the Array.  However, if the array was an Object[], then it cannot make this inference.  JsonWriter compares the Objects inside an array [] when writing them, and drops the @type in this case to make the resulting JSON smaller.

@type can be left off of Object[] of Strings, Object[] of longs, Object[] of booleans, Object[] of doubles.  In all those cases, it can infer the type.  Furthermore, these can be placed into the JSON as their native types, as opposed to JSON Objects{} in this case.  JsonWriter special handles these types so that they are written as JSON primitives (long, double, String, boolean).",2014-07-10 00:35:21+00:00,2014-07-10 00:35:21+00:00,before,0.016,0.947,0.038,0.8683,positive
"I can make requested APIs protected to allow for subclassing.  In the next release of json-io I may change that.  I want to stew on this a little bit.  For now, use Reflection like you did, as those APIs are not likely changing and your code will be fine.",2014-07-10 00:37:41+00:00,2014-07-10 00:37:41+00:00,before,0.0,0.809,0.191,0.8126,positive
Thanks for clarification jdereg!,2014-07-10 09:28:00+00:00,2014-07-10 09:28:00+00:00,before,0.0,0.484,0.516,0.4926,positive
"I have found a solution in my scenario, I simply special handle the simple datatypes. I need this, because our service interfaces are used by both javascript users, and a special client generating library, which needs to deserialize everything that was serialized by the server formerly.

I checked the standard and you are right, in old versions of json it was the case, that a valid json text is only an object or an array. Don't know when exactly they changed this, but it's mentioned in the current rfc explicitly:
http://tools.ietf.org/html/rfc7159
http://tools.ietf.org/pdf/rfc7159.pdf
2. JSON Grammar (pdf page 4) ""A JSON text is a serialized value. Note that certain previous
specifications of JSON constrained a JSON text to be an object or an array.""
Also in the examples for valid json (page 13):
Here are three small JSON texts containing only values:
""Hello world!""
42
true

At the beginning of the rfc they mentioned:
"" This document updates RFC4627, which describes JSON and registers the media type ""application/json"".""

""In the years since the publication of RFC 4627, JSON has found very wide use. This experience has revealed certain patterns, which, while allowed by its specifications, have caused interoperability problems.
Also, a small number of errata have been reported (see RFC Errata IDs 607 and 3607).
This document’s goal is to apply the errata, remove inconsistencies with other specifications of JSON, and highlight practices that can lead to interoperability problems.""",2014-07-10 12:32:19+00:00,2014-07-10 12:32:19+00:00,before,0.034,0.867,0.1,0.9342,positive
"ok, thanks again for clarification",2014-07-10 12:42:37+00:00,2014-07-10 12:42:37+00:00,before,0.0,0.58,0.42,0.4404,positive
"UnmodifiableMap can not be deserialized
JsonReader performs a method 'rehashMaps()' that invokes 'map.put(..)' which leads to an UnsupportedOperationException
Here is an example code:

``` java
   HashMap<String, String> hsOurMap = new HashMap<>();
   hsOurMap.put(""key"", ""val"");

   String strJson = JsonWriter.objectToJson(Collections.unmodifiableMap(hsOurMap));
   HashMap<String, String> clone = (HashMap<String, String>) JsonReader.jsonToJava(strJson);
```",2014-07-15 12:52:02+00:00,2014-07-15 12:52:02+00:00,before,0.0,1.0,0.0,0.0,neutral
"json format for associative array / map
In Javascript it is easy and straight forward to use a json string as associative array with just a single line of code, if it is in the notation

```
{
   key0=val0;
   key1=val1;
}
```

Thus, it is perfect to deal with json generated by json-io out of java bean or pojo like Objects. I am wondering about why the generated json is different if the input is a java Map. Sadly, the generated json looks like this:

```
{
 ""@keys"":[
    ""key0"",
    ""key1""
  ],
  ""@items"":[
    ""val0"",
    ""val1""
  ]
}
```

This is hard to read by humans as with more entries, it's not clear which value is associated with a key. It's hard to use programatically, since it's 'somehow special'. Last but not least, it's different to other json serializing libraries, which makes it hart for both server and client code to switch if you want to enjoy the advantages of json-io.

Is there a need for this additional syntax? I would ask for a feature request, or a hint how I can achieve the default json object associative syntax also for maps (maybe with a custom writer/reader).",2014-07-15 13:16:32+00:00,2014-07-15 13:16:32+00:00,before,0.036,0.868,0.096,0.9134,positive
"In Java, not Javascript, Map keys can be non-Strings.  For example, you
could have a Set as a key, or a Date, an Employee class, etc.  Because of
that, you cannot assume the key is a String.  The approach taken by json-io
allows ANY Java Map to be written to JSON and then re-read back in.
 Additionally, we have a Javascript function that will substitute the @keys
and @items after the JSON is read, so that even complex Maps from Java can
be read in Javascript.

On Tue, Jul 15, 2014 at 9:16 AM, reuschling notifications@github.com
wrote:

> In Javascript it is easy and straight forward to use a json string as
> associative array with just a single line of code, if it is in the notation
> 
> {
>    key0=val0;
>    key1=val1;
> }
> 
> Thus, it is perfect to deal with json generated by json-io out of java
> bean or pojo like Objects. I am wondering about why the generated json is
> different if the input is a java Map. Sadly, the generated json looks like
> this:
> 
> {
>  ""@keys"":[
>     ""key0"",
>     ""key1""
>   ],
>   ""@items"":[
>     ""val0"",
>     ""val1""
>   ]
> }
> 
> This is hard to read by humans as with more entries, it's not clear which
> value is associated with a key. It's hard to use programatically, since
> it's 'somehow special'. Last but not least, it's different to other json
> serializing libraries, which makes it hart for both server and client code
> to switch if you want to enjoy the advantages of json-io.
> 
> Is there a need for this additional syntax? I would ask for a feature
> request, or a hint how I can achieve the default json object associative
> syntax also for maps (maybe with a custom writer/reader).
> 
> —
> Reply to this email directly or view it on GitHub
> https://github.com/jdereg/json-io/issues/17.",2014-07-15 13:32:37+00:00,2014-07-15 13:32:37+00:00,before,0.017,0.919,0.063,0.9314,positive
"ah, fine. Didn't think about that. This is a good reason of course. Nevertheless, do we have a possibility to change the syntax in the case the map has String keys? This is the case in 99% our scenarios.",2014-07-15 13:38:11+00:00,2014-07-15 13:38:11+00:00,before,0.0,0.887,0.113,0.5719,positive
"If you implement this, please fork the repository and send me a pull
request.

On Tue, Jul 15, 2014 at 9:38 AM, reuschling notifications@github.com
wrote:

> ah, fine. Didn't think about that. This is a good reason of course.
> Nevertheless, do we have a possibility to change the syntax in the case the
> map has String keys? This is the case in 99% our scenarios.
> 
> —
> Reply to this email directly or view it on GitHub
> https://github.com/jdereg/json-io/issues/17#issuecomment-49032162.",2014-07-15 13:47:09+00:00,2014-07-15 13:47:09+00:00,before,0.0,0.916,0.084,0.745,positive
Done :),2014-07-15 15:22:24+00:00,2014-07-15 15:22:24+00:00,before,0.0,0.25,0.75,0.4588,positive
This has been implemented in json-io 2.7.0.  Root can be any JSON value (value as defined in the JSON BNF).,2014-08-01 15:10:24+00:00,2014-08-01 15:10:24+00:00,before,0.0,0.789,0.211,0.5859,positive
